"","group","beta","r","p","R2"
"PGS_global_z","Men",-0.03877908075823,-0.295511973805694,0.193409095349527,0.087327326662537
"PGS_global_z1","Women",-0.0536473836053715,-0.225727362688012,0.32519018191937,0.0509528422660852
