"","group","beta","r","p","R2"
"PGS_global_z","Men",-0.0411852152985059,-0.306797898328821,0.176142850792757,0.0941249504189817
"PGS_global_z1","Women",-0.080903807760626,-0.352514551339304,0.117042551304188,0.124266508905951
