"","group","beta","r","p","R2"
"PGS_global_z","Men",-0.305674210693614,-0.10302793878371,0.65674689480374,0.0106147561700199
"PGS_global_z1","Women",-1.67338930009921,-0.409005371866371,0.0656200880327264,0.167285394215549
