"","group","beta","r","p","R2"
"PGS_global_z","Men",0.992210628279545,0.319451260586296,0.158074909870056,0.102049107890173
"PGS_global_z1","Women",1.14919248472931,0.277642277611312,0.22301737168634,0.0770852343171969
