"","group","beta","r","p","R2"
"PGS_global_z","Men",0.0250761927257099,0.427553058138982,0.0531971839889378,0.182801617523996
"PGS_global_z1","Women",0.0275620692460981,0.459942164288078,0.0359163377507973,0.211546794490001
