"","group","beta","r","p","R2"
"PGS_global_z","Men",0.00430042916433368,0.0667471195768975,0.773756612713879,0.00445517797181267
"PGS_global_z1","Women",-0.0035361545051833,-0.0665817332604572,0.774303203764251,0.00443312720396665
