"","group","beta","r","p","R2"
"PGS_global_z","Boys",2.65530224864352,0.547272049886875,0.0102373790500229,0.299506696587384
"PGS_global_z1","Girls",1.52699837267356,0.393124777180283,0.0779020485839274,0.154547090433047
