"","group","beta","r","p","R2"
"PGS_global_z","Boys",1.66507478318542,0.247135806325616,0.688569988867207,0.0610761067682122
"PGS_global_z1","Girls",-0.419275709203575,-0.0762405597563448,0.903021627539196,0.00581262295196076
