"","group","beta","r","p","R2"
"PGS_global_z","Boys",-1.07776152679009,-0.223471231725043,0.330177771724942,0.0499393914087084
"PGS_global_z1","Girls",-0.0316604411241579,-0.00763025429932631,0.973813800910854,5.82207806723904e-05
