"","group","beta","r","p","R2"
"PGS_global_z","Boys",1.42973696654367,0.599200715150945,0.285571429547034,0.359041497037406
"PGS_global_z1","Girls",1.30103868598306,0.777408812069084,0.121768720420329,0.604364461082674
